doi,ref,tweet_id,tweet_url,ref_domain,alt_has
10.1016/j.ejor.2015.04.002,arxiv.org/abs/1501.05462,562067120448880640,https://twitter.com/sibelefausto/status/562067120448880640,arxiv.org,False
10.1016/j.ejor.2015.04.002,arxiv.org/abs/1501.05462,561635921565868033,https://twitter.com/BlackPhysicists/status/561635921565868033,arxiv.org,False
10.1016/j.ejor.2015.04.002,arxiv.org/abs/1501.05462,559907177876701186,https://twitter.com/tsuomela/status/559907177876701186,arxiv.org,False
10.1016/j.ejor.2015.04.002,arxiv.org/abs/1501.05462,559518725510922241,https://twitter.com/sibelefausto/status/559518725510922241,arxiv.org,False
10.1016/j.ejor.2015.04.002,arxiv.org/abs/1501.05462,559414186275782656,https://twitter.com/FabTinti/status/559414186275782656,arxiv.org,False
10.1016/j.ejor.2015.04.002,arxiv.org/abs/1501.05462,559375377383301120,https://twitter.com/LoetLeydesdorff/status/559375377383301120,arxiv.org,False
10.1016/j.ejor.2015.03.002,sciencedirect.com/science/article/pii/S0377221715001952?sf9030603=1,603063096404480001,http://twitter.com/ORMS_Elsevier/statuses/603063096404480001,sciencedirect.com,False
10.1016/j.ejor.2015.01.033,sciencedirect.com/science?_ob=GatewayURL&_origin=IRSSSEARCH&_method=citationSearch&_piikey=S0377221715000533&_version=1&md5=a1e4b0e06cb938dfd001b97f2fdf34bf,578688503434756096,http://twitter.com/FlexibleNano/statuses/578688503434756096,sciencedirect.com,False
10.1016/j.ejor.2015.01.033,sciencedirect.com/science?_ob=GatewayURL&_origin=IRSSSEARCH&_method=citationSearch&_piikey=S0377221715000533&_version=1&md5=a1e4b0e06cb938dfd001b97f2fdf34bf,578688498623905792,http://twitter.com/FlexiblePV/statuses/578688498623905792,sciencedirect.com,False
10.1016/j.ejor.2014.09.044,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0377221714007838&_version=1&md5=b8f61cbfc8e449fb4cadf3705b074128,542978759217803265,https://twitter.com/Smart_Materials/status/542978759217803265,sciencedirect.com,False
10.1016/j.eswa.2015.06.001,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417415003954&_version=1&md5=87c217e60668c3e7b826ed8aad708c40,626133992602009601,https://twitter.com/drspiteri/status/626133992602009601,sciencedirect.com,False
10.1016/j.eswa.2015.04.054,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417415002961&_version=1&md5=9f318be07052a34fe66c31e0ad5b2029,608081331608776704,http://twitter.com/fparreiras/statuses/608081331608776704,sciencedirect.com,False
10.1016/j.eswa.2015.04.067,sciencedirect.com.zeus.tarleton.edu:82/science/article/pii/S0957417415003097,646906341831897088,http://twitter.com/winstondawson/statuses/646906341831897088,sciencedirect.com.zeus.tarleton.edu:82,False
10.1016/j.eswa.2015.04.049,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417415002912&_version=1&md5=3ed66d5ae8c9490bac26093832fb2b92,626133990928424960,https://twitter.com/drspiteri/status/626133990928424960,sciencedirect.com,False
10.1016/j.eswa.2015.04.016,sciencedirect.com/science?_method=citationSearch&_ob=GatewayURL&_origin=IRSSSEARCH&_piikey=S0957417415002468&_version=1&md5=49d23a90baf96a7ea270358d8c2b860f,613767995001860096,https://twitter.com/fparreiras/status/613767995001860096,sciencedirect.com,False
10.1016/j.eswa.2015.04.050,sciencedirect.com/science?_ob=GatewayURL&_origin=IRSSSEARCH&_method=citationSearch&_piikey=S0957417415002924&_version=1&md5=8f50214aa95a0cd494e750491741cafb,603607580586319872,http://twitter.com/FlexibleNano/statuses/603607580586319872,sciencedirect.com,False
10.1016/j.eswa.2015.04.050,sciencedirect.com/science?_ob=GatewayURL&_origin=IRSSSEARCH&_method=citationSearch&_piikey=S0957417415002924&_version=1&md5=8f50214aa95a0cd494e750491741cafb,603607568167014402,http://twitter.com/FlexiblePV/statuses/603607568167014402,sciencedirect.com,False
