doi,altmetric_id,tweet_id,tweet_url,postedAt,postType,originalPost,has_plumx,comments,source
10.1007/s10479-015-1802-z,848433,2.26167E+17,http://twitter.com/chinkayu/statuses/226166841234583553,2012-07-20T04:09:11.000Z,tweet,TRUE,FALSE,,https://www.sciencedirect.com/science/article/abs/pii/S0377221715002854?sf10547504=1
10.1007/s10479-012-1094-5,622239,1.73906E+17,http://twitter.com/#!/MT5_info/status/173906045914189824,2012-02-26T23:03:27.000Z,tweet,TRUE,FALSE,,
10.1080/0305215X.2014.958733,2733845,7.83848E+17,http://twitter.com/Kanazaki_M/statuses/783847856801128448,2016-10-06T01:54:26.000Z,tweet,TRUE,FALSE,,https://tandfonline.com/doi/abs/10.1080/0305215X.2014.958733?journalCode=geno20
10.1080/0305215X.2014.928817,2868709,5.31771E+17,https://twitter.com/Francesca_Farr/status/531770968205983744,2014-11-10T11:30:53.000Z,tweet,TRUE,FALSE,,https://www.tandfonline.com/doi/abs/10.1080/0305215X.2014.928817#.VGChbI1FDcs
10.1080/0305215X.2014.892595,3390040,5.63567E+17,https://twitter.com/GarryRiviere/status/563567253552001024,2015-02-06T05:17:58.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2015.05.034,7526645,6.36566E+17,http://twitter.com/City_Research/statuses/636565663570464768,2015-08-26T15:47:35.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2015.04.013,4242977,6.17361E+17,https://twitter.com/ORMS_Elsevier/status/617360998920527872,2015-07-04T15:55:06.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2015.04.037,4005777,6.09007E+17,https://twitter.com/siskoslefteris/status/609006809035206656,2015-06-11T14:38:32.000Z,tweet,TRUE,FALSE,过期,https://www.sciencedirect.com/science/authShare/S0377221715003306/20150611T132300Z/1?md5=8353afc4d2e099df1f880915550534a7&dgcid=author
10.1016/j.ejor.2015.04.002,4592135,9.95513E+17,http://twitter.com/hayataka88/statuses/995512594516459520,2018-05-13T03:54:32.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2015.03.029,3857511,5.83143E+17,https://twitter.com/MathPaper/status/583143417124761601,2015-04-01T05:46:39.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2015.03.029,3857511,5.83065E+17,https://twitter.com/mathOCb/status/583065448947662848,2015-04-01T00:36:50.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2015.02.043,4512335,5.91187E+17,https://twitter.com/mluebbecke/status/591187384055820288,2015-04-23T10:30:30.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2015.02.029,4512341,5.90776E+17,https://twitter.com/kamiloski/status/590775662698455040,2015-04-22T07:14:28.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2015.02.029,4512341,5.90749E+17,https://twitter.com/kamiloski/status/590749168362254337,2015-04-22T05:29:11.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2015.02.016,7999825,8.92708E+17,http://twitter.com/ucl_discovery/statuses/892708294413996032,2017-08-02T11:26:57.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2015.01.046,4077445,6.14742E+17,https://twitter.com/KathyKotiadis/status/614742335746916354,2015-06-27T10:29:28.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2014.10.043,4483196,6.41095E+17,http://twitter.com/Edu_Economist/statuses/641095301269295104,2015-09-08T03:46:45.000Z,tweet,TRUE,FALSE,,
10.1016/j.ejor.2014.11.006,3760401,5.73747E+17,https://twitter.com/BibliotecaCN/status/573746696972275712,2015-03-06T07:27:26.000Z,tweet,TRUE,FALSE,,
