SO,SO_id,DI,dimensions_id
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-12-2017-1315,pub.1106423814
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-08-2017-1216,pub.1106423813
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-05-2018-1427,pub.1106423812
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-03-2018-1390,pub.1106423811
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-03-2018-1385,pub.1106423810
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-03-2018-1376,pub.1106423809
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-03-2018-1367,pub.1106423808
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-02-2018-1345,pub.1106423807
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-01-2018-1324,pub.1106423806
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-01-2018-1320,pub.1106423805
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-09-2017-1243,pub.1105280016
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-08-2017-1215,pub.1105280015
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-08-2017-1213,pub.1105280014
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-08-2017-1206,pub.1105280013
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-07-2017-1202,pub.1105280012
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-07-2017-1199,pub.1105280011
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-06-2017-1183,pub.1105280010
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-04-2017-1151,pub.1105280009
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-03-2017-1141,pub.1105280008
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-03-2017-1135,pub.1105280007
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-07-2017-1197,pub.1105181919
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-05-2017-1164,pub.1105181918
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-05-2017-1162,pub.1105181917
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-11-2017-1280,pub.1105157777
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-09-2017-1241,pub.1105157776
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-07-2017-1203,pub.1105157775
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-07-2017-1193,pub.1105157774
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-07-2017-1189,pub.1105157773
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-05-2017-1174,pub.1105157772
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-02-2017-1127,pub.1105157771
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-10-2016-1073,pub.1103344243
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-07-2017-1194,pub.1103344242
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-06-2017-1182,pub.1103344241
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-05-2017-1170,pub.1103344240
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-05-2017-1163,pub.1103344239
International Journal of Organizational Analysis,jour.1142609,10.1108/ijoa-04-2017-1156,pub.1103344238
