PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA	
J	Altin, A				Altin, A.			The Energy of a Domain on the Surface	UKRAINIAN MATHEMATICAL JOURNAL			English	Article							DISTRIBUTIONS	We compute the energy of a unit normal vector field on a Riemannian surface M. It is shown that the energy of the unit normal vector field is independent of the choice of an orthogonal basis in the tangent space. We also define the energy of the surface. Moreover, we compute the energy of spheres, domains on a right circular cylinder and torus, and of the general surfaces of revolution.	[Altin, A.] Hacettepe Univ, Ankara, Turkey	Altin, A (reprint author), Hacettepe Univ, Ankara, Turkey.		ALTIN, AYSE/G-9105-2013					7	0	0	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	SEP	2015	67	4					641	647		10.1007/s11253-015-1128-7				7	Mathematics, Applied; Mathematics	Mathematics	CY1HQ	WOS:000366157700010					2019-08-07	
J	Zembyk, VV				Zembyk, V. V.			Skewed-Gentle Algebras are Nodal	UKRAINIAN MATHEMATICAL JOURNAL			English	Article								We prove that any gentle or skewed-gentle algebra is a nodal algebra of type A.	[Zembyk, V. V.] Natl Acad Sci Ukraine, Inst Math, Kiev, Ukraine	Zembyk, VV (reprint author), Natl Acad Sci Ukraine, Inst Math, Kiev, Ukraine.							6	0	0	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	SEP	2015	67	4					648	651		10.1007/s11253-015-1129-6				4	Mathematics, Applied; Mathematics	Mathematics	CY1HQ	WOS:000366157700011					2019-08-07	
J	Asanova, AT				Asanova, A. T.			Well-Posed Solvability of a Nonlocal Boundary-Value Problem for the Systems of Hyperbolic Equations with Impulsive Effects	UKRAINIAN MATHEMATICAL JOURNAL			English	Article								We consider a nonlocal boundary-value problem for a system of hyperbolic equations with impulsive effects. The relationship is established between the well-posed solvability of the nonlocal boundary-value problem for a system of hyperbolic equations with impulsive effects and the well-posed solvability of a family of two-point boundary-value problems for a system of ordinary differential equations with impulsive effects. Sufficient conditions for the existence of a unique solution of the family of two-point boundary-value problems for a system of ordinary differential equations with impulsive effects are obtained by method of introduction of functional parameters. The algorithms are proposed for finding the solutions. The necessary and sufficient conditions of the well-posed solvability of a nonlocal boundary-value problem for a system of hyperbolic equations with impulsive effects are established in the terms of the initial data.	Minist Educ & Sci Kazakhstan, Inst Math & Math Simulat, Alma Ata, Kazakhstan	Asanova, AT (reprint author), Minist Educ & Sci Kazakhstan, Inst Math & Math Simulat, Alma Ata, Kazakhstan.		Assanova, Anar/C-6804-2016; Assanova, Anar/N-6177-2017	Assanova, Anar/0000-0001-8697-8920				18	6	6	0	4	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	AUG	2015	67	3					333	346		10.1007/s11253-015-1083-3				14	Mathematics, Applied; Mathematics	Mathematics	CV1QK	WOS:000364032900001					2019-08-07	
J	Banakh, TO; Protasov, IV; Slobodianiuk, SV				Banakh, T. O.; Protasov, I. V.; Slobodianiuk, S. V.			Scattered Subsets of Groups	UKRAINIAN MATHEMATICAL JOURNAL			English	Article							THIN; ULTRAFILTERS; SPACES	We define scattered subsets of a group as asymptotic counterparts of the scattered subspaces of a topological space and prove that a subset A of a group G is scattered if and only if A does not contain any piecewise shifted IP -subsets. For an amenable group G and a scattered subspace A of G, we show that mu(A) = 0 for each left invariant Banach measure mu on G. It is also shown that every infinite group can be split into a"mu(0) scattered subsets.	[Banakh, T. O.] Franko Lviv Natl Univ, Lvov, Ukraine; [Protasov, I. V.; Slobodianiuk, S. V.] Shevchenko Kyiv Natl Univ, Lvov, Ukraine	Banakh, TO (reprint author), Franko Lviv Natl Univ, Lvov, Ukraine.		Banakh, Taras/F-6219-2019	Banakh, Taras/0000-0001-6710-4611; Protasov, Igor/0000-0003-1518-6234				28	5	5	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	AUG	2015	67	3					347	356		10.1007/s11253-015-1084-2				10	Mathematics, Applied; Mathematics	Mathematics	CV1QK	WOS:000364032900002					2019-08-07	
J	Bandaliev, RA				Bandaliev, R. A.			Two-Weight Criteria for the Multidimensional Hardy-Type Operator in p-Convex Banach Function Spaces and Some Applications	UKRAINIAN MATHEMATICAL JOURNAL			English	Article							INTEGRAL-INEQUALITIES; STRUCTURAL-PROPERTIES; LEBESGUE; BOUNDEDNESS	The main aim of the paper is to prove a two-weight criterion for the multidimensional Hardy-type operator from weighted Lebesgue spaces into p-convex weighted Banach function spaces. The problem for the dual operator is also considered. As an application, we prove a two-weight criterion of boundedness of the multidimensional geometric mean operator from weighted Lebesgue spaces into weighted Musielak-Orlicz spaces.	Azerbaijan Natl Acad Sci, Inst Math & Mech, Baku, Azerbaijan	Bandaliev, RA (reprint author), Azerbaijan Natl Acad Sci, Inst Math & Mech, Baku, Azerbaijan.		cekic, bilal/D-2389-2011	cekic, bilal/0000-0002-6408-0455	Science Development Foundation under Republic of Azerbaijan [EIF-2014-9(15)-46/10/1]; Presidium of the Azerbaijan National Academy of Sciences	The present work was partially supported by the Science Development Foundation under the President of the Republic of Azerbaijan (Grant EIF-2014-9(15)-46/10/1) and by the Grant of Presidium of the Azerbaijan National Academy of Sciences 2015.		45	2	2	0	2	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	AUG	2015	67	3					357	371		10.1007/s11253-015-1085-1				15	Mathematics, Applied; Mathematics	Mathematics	CV1QK	WOS:000364032900003					2019-08-07	
J	Hishchak, TI				Hishchak, T. I.			On One Uniqueness Theorem for a Weighted Hardy Space	UKRAINIAN MATHEMATICAL JOURNAL			English	Article								A uniqueness theorem is proved for the space of functions analytic in the right half plane and satisfying the condition sup broken vertical bar phi broken vertical bar < pi/2 {integral(+infinity)(0) broken vertical bar f(re(i phi)) broken vertical bar(p) e(-p sigma r)broken vertical bar (sin phi broken vertical bar)dr} < +infinity.	Franko Drohobych Pedag Univ, Drogobych, Ukraine	Hishchak, TI (reprint author), Franko Drohobych Pedag Univ, Drogobych, Ukraine.							15	0	0	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	AUG	2015	67	3					372	380		10.1007/s11253-015-1086-0				9	Mathematics, Applied; Mathematics	Mathematics	CV1QK	WOS:000364032900004					2019-08-07	
J	Gurbuz, N; Gorgulu, A				Gurbuz, N.; Gorgulu, A.			Generalized Elastic Line Deformed on a Nonnull Surface by an External Field in the 3-Dimensional Semi-Euclidean Space E-1(3)	UKRAINIAN MATHEMATICAL JOURNAL			English	Article							MINKOWSKI 3-SPACE E-1(3); INTRINSIC FORMULATION; CLOSED CURVES; DYNAMICS	We deduce intrinsic equations for a generalized elastic line deformed on the nonnull surface by an external field in the semi-Euclidean space (1) (3) and give some applications.	[Gurbuz, N.; Gorgulu, A.] Eskisehir Osmangazi Univ, Eskisehir, Turkey	Gurbuz, N (reprint author), Eskisehir Osmangazi Univ, Eskisehir, Turkey.							19	0	0	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	AUG	2015	67	3					381	389		10.1007/s11253-015-1087-z				9	Mathematics, Applied; Mathematics	Mathematics	CV1QK	WOS:000364032900005					2019-08-07	
J	Eryilmaz, I; Duyar, C				Eryilmaz, I.; Duyar, C.			Investigation of the Functional Properties and Spaces of Multipliers for Group L(p, q)(G)-Algebras	UKRAINIAN MATHEMATICAL JOURNAL			English	Article							GROUP LP-ALGEBRAS; OPERATORS; P,P	Let G be a locally compact Abelian group (noncompact and nondiscrete) with Haar measure. Suppose that 1 < p < a and 1 a parts per thousand currency sign q a parts per thousand currency sign a. The purpose of the paper is to define temperate Lorentz spaces and study the spaces of multipliers on Lorentz spaces and characterize them as the spaces of multipliers of certain Banach algebras.	[Eryilmaz, I.; Duyar, C.] Ondokuz Mayis Univ, Samsun, Turkey	Eryilmaz, I (reprint author), Ondokuz Mayis Univ, Samsun, Turkey.							16	0	0	0	5	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	AUG	2015	67	3					390	407		10.1007/s11253-015-1088-y				18	Mathematics, Applied; Mathematics	Mathematics	CV1QK	WOS:000364032900006					2019-08-07	
J	Kapustyan, OV; Rusina, AV				Kapustyan, O. V.; Rusina, A. V.			Approximate Synthesis of Distributed Bounded Control for a Parabolic Problem with Rapidly Oscillating Coefficients	UKRAINIAN MATHEMATICAL JOURNAL			English	Article								We study the problem of finding the optimal control in the form of feedback (synthesis) for a linear-quadratic problem in the form of a parabolic equation with rapidly oscillating coefficients and distributed control on the right-hand side (whose Fourier coefficients obey certain restrictions in the form of inequalities) and a quadratic quality criterion. We deduce the exact formula of synthesis and justify its approximate form corresponding to the replacement of rapidly oscillating coefficients by their averaged values.	[Kapustyan, O. V.; Rusina, A. V.] Shevchenko Kyiv Natl Univ, Kiev, Ukraine	Kapustyan, OV (reprint author), Shevchenko Kyiv Natl Univ, Kiev, Ukraine.							11	1	1	0	0	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	AUG	2015	67	3					408	420		10.1007/s11253-015-1089-x				13	Mathematics, Applied; Mathematics	Mathematics	CV1QK	WOS:000364032900007					2019-08-07	
J	Plotnikov, AV				Plotnikov, A. V.			A Procedure of Complete Averaging for Fuzzy Differential Inclusions on a Finite Segment	UKRAINIAN MATHEMATICAL JOURNAL			English	Article							EQUATIONS	We justify the applicability of the method of complete averaging on a finite segment for differential inclusions with fuzzy right-hand sides containing a small parameter.	Odessa State Acad Bldg & Architecture, Odessa, Ukraine	Plotnikov, AV (reprint author), Odessa State Acad Bldg & Architecture, Odessa, Ukraine.		Plotnikov, Andrej/U-2406-2017	Plotnikov, Andrej/0000-0002-7864-0732				34	1	1	1	3	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	0041-5995	1573-9376		UKR MATH J+	Ukr. Math. J.	AUG	2015	67	3					421	430		10.1007/s11253-015-1090-4				10	Mathematics, Applied; Mathematics	Mathematics	CV1QK	WOS:000364032900008					2019-08-07	
