SO,SO_id,DI,dimensions_id
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2018070104,pub.1105543107
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2018070103,pub.1105543106
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2018070102,pub.1105543105
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2018070101,pub.1105543104
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2018010105,pub.1101814025
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2018010104,pub.1101814024
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2018010103,pub.1101814023
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2018010102,pub.1101814022
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2018010101,pub.1101814021
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2017070104,pub.1100342549
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2017070103,pub.1100342548
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2017070102,pub.1100342547
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2017070101,pub.1100342546
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2017010103,pub.1085977666
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2017010102,pub.1085977665
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2017010101,pub.1085977664
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2017010104,pub.1085967246
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2016070103,pub.1052748549
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2016070101,pub.1039978228
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2016070104,pub.1023947657
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2016070102,pub.1022627390
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2016010104,pub.1071877870
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2016010103,pub.1071877869
International Journal of Business Intelligence Research,jour.1146401,10.4018/ijbir.2016010102,pub.1071877868
