SO,SO_id,DI,dimensions_id
Multinational Business Review,jour.1143126,10.1108/mbr-04-2015-0014,pub.1005745897
Multinational Business Review,jour.1143126,10.1108/mbr-06-2015-0023,pub.1049844491
Multinational Business Review,jour.1143126,10.1108/mbr-12-2014-0067,pub.1029156260
Multinational Business Review,jour.1143126,10.1108/mbr-08-2014-0041,pub.1014094892
Multinational Business Review,jour.1143126,10.1108/mbr-06-2014-0020,pub.1004148862
Multinational Business Review,jour.1143126,10.1108/mbr-06-2014-0031,pub.1026336043
Multinational Business Review,jour.1143126,10.1108/mbr-06-2014-0033,pub.1020671257
Multinational Business Review,jour.1143126,10.1108/mbr-07-2014-0034,pub.1019481020
Multinational Business Review,jour.1143126,10.1108/mbr-09-2014-0048,pub.1013929347
Multinational Business Review,jour.1143126,10.1108/mbr-02-2015-0009,pub.1038524039
Multinational Business Review,jour.1143126,10.1108/mbr-12-2014-0068,pub.1021618131
Multinational Business Review,jour.1143126,10.1108/mbr-02-2015-0005,pub.1016127859
Multinational Business Review,jour.1143126,10.1108/mbr-03-2015-0010,pub.1015634539
Multinational Business Review,jour.1143126,10.1108/mbr-12-2014-0064,pub.1011654358
Multinational Business Review,jour.1143126,10.1108/mbr-02-2015-0008,pub.1005185011
Multinational Business Review,jour.1143126,10.1108/mbr-02-2015-0007,pub.1000715948
Multinational Business Review,jour.1143126,10.1108/mbr-09-2014-0047,pub.1061020325
Multinational Business Review,jour.1143126,10.1108/mbr-06-2014-0029,pub.1037659882
Multinational Business Review,jour.1143126,10.1108/mbr-08-2014-0044,pub.1032132134
Multinational Business Review,jour.1143126,10.1108/mbr-08-2014-0042,pub.1031384054
Multinational Business Review,jour.1143126,10.1108/mbr-04-2014-0014,pub.1020126900
Multinational Business Review,jour.1143126,10.1108/mbr-09-2014-0046,pub.1011118670
Multinational Business Review,jour.1143126,10.1108/mbr-07-2014-0038,pub.1008841481
Multinational Business Review,jour.1143126,10.1108/mbr-07-2014-0035,pub.1061020323
Multinational Business Review,jour.1143126,10.1108/mbr-06-2014-0024,pub.1039287533
Multinational Business Review,jour.1143126,10.1108/mbr-06-2014-0026,pub.1031131190
Multinational Business Review,jour.1143126,10.1108/mbr-06-2014-0021,pub.1018765689
Multinational Business Review,jour.1143126,10.1108/mbr-06-2014-0022,pub.1014308813
Multinational Business Review,jour.1143126,10.1108/mbr-06-2014-0023,pub.1011687889
Multinational Business Review,jour.1143126,10.1108/mbr-12-2013-0067,pub.1061020328
Multinational Business Review,jour.1143126,10.1108/mbr-05-2014-0018,pub.1061020321
Multinational Business Review,jour.1143126,10.1108/mbr-04-2014-0016,pub.1047476250
Multinational Business Review,jour.1143126,10.1108/mbr-04-2014-0011,pub.1046914076
Multinational Business Review,jour.1143126,10.1108/mbr-04-2014-0015,pub.1046876524
Multinational Business Review,jour.1143126,10.1108/mbr-01-2014-0004,pub.1024544058
Multinational Business Review,jour.1143126,10.1108/mbr-04-2014-0010,pub.1008665977
Multinational Business Review,jour.1143126,10.1108/mbr-11-2013-0064,pub.1061020327
Multinational Business Review,jour.1143126,10.1108/mbr-02-2014-0006,pub.1061020320
Multinational Business Review,jour.1143126,10.1108/mbr-01-2014-0001,pub.1061020319
Multinational Business Review,jour.1143126,10.1108/mbr-09-2013-0051,pub.1050788040
Multinational Business Review,jour.1143126,10.1108/mbr-10-2013-0061,pub.1042594407
Multinational Business Review,jour.1143126,10.1108/mbr-06-2013-0032,pub.1037824278
Multinational Business Review,jour.1143126,10.1108/mbr-06-2013-0034,pub.1000212410
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1547188,pub.1113056244
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1601859,pub.1113530518
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1591076,pub.1113530266
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1598052,pub.1113525568
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1589690,pub.1113119565
Review of African Political Economy,jour.1027711,10.1080/03056244.2018.1546687,pub.1113533207
